,Unnamed: 0,tc,test #,kp,kd,ki,ess_step,IAE,ITAE,R_ess_step,R_IAE,R_ITAE,Kr,Tn,Tv,PR,RT,P-Eng,S-Eng,Eng-rel,osc_p,osc_s,parameter_code,eng-diff,mr_RT,mr_PR,mr_ess_g,mr_IAE,mr_ITAE,mr_Eng_p_s,mr_EngS,mr_osc,total_one
1002,1002,tc104,0,11.11111111111111,0.5555555555555556,1388.888888888889,0.9174311926605504,0.1,0.0053333333333333,6.715331551276904e-06,4.046327107047757,0.187079145229983,0.09,0.008,0.05,1.015,0.1,62603978.154,598342626035.643,0.0001046289791666,1,1,eee,392797128247.9131,,,,,,,,,
1003,1003,tc104,1000,11.11111111111111,0.2777777777777778,435.7298474945534,0.9174311926605504,0.1262438117295259,0.0085,0.0470766775545712,9.595612206443686,1.8997207300809065,0.09,0.0255,0.025,1.264,0.113,64646235.694,223994052207.358,0.0002886069297686,1,1,ell,767145702076.198,1.0,0.0,1.0,1.0,1.0,0.0,,,4.0
1004,1004,tc104,1001,8.333333333333334,0.5,84.17508417508418,0.8928571428571428,0.3337289319193048,0.0593999999999999,0.0908578135622377,12.113044814317051,2.377194238083549,0.12,0.099,0.06,1.087,0.248,23901209.898,182934978975.18,0.0001306541265749,1,3,lll,808204775308.376,0.0,0.0,,0.0,,,1.0,1.0,2.0
1005,1005,tc104,100,10.0,0.55,833.3333333333334,0.9090909090909091,0.1218605760695394,0.0079199999999999,5.301666023171947e-05,4.919173326685518,0.3033325494790017,0.1,0.012,0.055,1.033,0.116,52110706.466,411191767501.018,0.0001267309089933,1,1,lll,579947986782.5381,1.0,1.0,,1.0,,,1.0,1.0,5.0
1006,1006,tc104,101,8.333333333333334,0.0833333333333333,370.3703703703704,0.8928571428571428,0.0649519052838328,0.0022499999999999,0.1731774660328824,9.5281395333241,2.001486592333992,0.12,0.0225,0.01,1.382,0.082,109247663.007,502952702120.423,0.0002172125978176,1,1,lll,488187052163.13306,1.0,0.0,,0.0,,,1.0,1.0,3.0
1007,1007,tc104,102,10.0,0.4,238.09523809523807,0.9090909090909091,0.1944222209522358,0.0201599999999999,0.1203435955967222,9.867433957838252,1.83561631246412,0.1,0.042,0.04,1.164,0.154,40620308.318,171795937213.257,0.0002364451044472,1,1,lll,819343817070.2991,0.0,0.0,,0.0,,,1.0,1.0,2.0
1008,1008,tc104,103,7.692307692307692,0.4615384615384614,207.9002079002079,0.8849557522123894,0.1960180525438331,0.0204923076923076,0.0067053615417336,7.792809065415812,0.9144770461688552,0.13,0.037,0.06,1.078,0.163,36173648.394,278625499408.487,0.0001298289225889,1,3,lll,712514254875.0691,0.0,0.0,,1.0,,,1.0,1.0,3.0
1009,1009,tc104,104,7.142857142857142,0.0714285714285714,4761.9047619047615,0.8771929824561403,0.0155264750852029,0.0001285714285714,9.549514107535316,32.54828292988418,23.56886735593284,0.14,0.0015,0.01,1.352,0.047,3328313317.159,137602515714709.77,2.4187881303417204e-05,1,1,lhl,-136611375960426.2,1.0,0.0,0.0,0.0,1.0,0.0,,,2.0
1010,1010,tc104,105,4.545454545454546,0.1136363636363636,62.26650062266501,0.819672131147541,0.1366190789285037,0.0099545454545454,0.0125419461775635,7.06811054914963,0.9254161262181192,0.22,0.073,0.025,1.1,0.138,44341706.534,564322909004.963,7.857506017642469e-05,1,1,lll,426816845278.593,0.0,0.0,,1.0,,,1.0,1.0,3.0
1011,1011,tc104,106,8.333333333333334,0.0416666666666666,462.9629629629631,0.8928571428571428,0.0410791918128874,0.0009,0.3004389469765982,11.060379658282685,2.697426181881604,0.12,0.018,0.005,1.494,0.071,161413002.628,776267203003.876,0.0002079348476959,1,1,lll,214872551279.68005,1.0,0.0,,0.0,,,1.0,1.0,3.0
1012,1012,tc104,107,6.666666666666667,0.2333333333333333,107.52688172043013,0.8695652173913044,0.1804161855266871,0.0173599999999999,0.0366352148153339,8.644334042394252,1.397196876539339,0.15,0.062,0.035,1.128,0.153,39618447.343,321700665524.108,0.0001231531407572,1,3,lll,669439088759.448,0.0,0.0,,0.0,,,1.0,1.0,2.0
1013,1013,tc104,108,6.666666666666667,0.3666666666666667,317.46031746031747,0.8695652173913044,0.1316244658108818,0.0092399999999999,1.4820519695035728e-05,5.457507147337652,0.4032699390154924,0.15,0.021,0.055,1.046,0.128,47030240.029,501617494447.661,9.375717663273635e-05,1,1,lll,489522259835.895,0.0,1.0,,1.0,,,1.0,1.0,4.0
1014,1014,tc104,109,6.25,0.15625,2500.0,0.8620689655172414,0.0296463530640785,0.0004687499999999,1.105559412906132e-05,3.23863957913601,0.1597533070220599,0.16,0.0025,0.025,1.054,0.051,171023609.386,7056201652216.144,2.4237347203971495e-05,3,3,lhl,-6065061897932.588,1.0,0.0,1.0,1.0,0.0,0.0,,,3.0
1015,1015,tc104,10,11.11111111111111,0.8888888888888888,322.06119162640897,0.9174311926605504,0.2626785107312739,0.0368,0.0036002817319769,9.448974426111729,1.228666331320146,0.09,0.0345,0.08,1.068,0.203,28742177.572,139142513699.912,0.0002065664677726,1,3,elh,851997240583.644,0.0,0.0,1.0,1.0,1.0,1.0,,,4.0
1016,1016,tc104,110,7.692307692307692,0.2692307692307692,150.82956259426848,0.8849557522123894,0.1757675475428577,0.016476923076923,0.0728979195782955,8.950248689117375,1.5348106348709556,0.13,0.051,0.035,1.149,0.147,41862114.008,260618757343.96,0.0001606258675876,1,3,lll,730520996939.5961,0.0,0.0,,0.0,,,1.0,1.0,2.0
1017,1017,tc104,111,14.285714285714285,0.8571428571428571,2597.402597402597,0.9345794392523364,0.1029909843488392,0.0056571428571428,5.413984496271951e-07,4.602976856141126,0.2476771130263774,0.07,0.0055,0.06,1.001,0.132,56678830.767,637024822487.528,8.897428917396652e-05,1,1,hhh,354114931796.0281,0.0,1.0,1.0,1.0,1.0,1.0,,,5.0
1018,1018,tc104,112,4.3478260869565215,0.0,70.12622720897616,div0,0.0056571428571428,0.0056571428571428,0.0101372061038063,6.665113779868947,0.974770771152564,0.23,0.062,0.0,1.193,0.094,69536412.833,585684424014.647,0.0001187267579293,1,1,lll,405455330268.90906,1.0,0.0,,1.0,,,1.0,1.0,4.0
1019,1019,tc104,113,7.692307692307692,0.0,307.6923076923076,div0,0.0056571428571428,0.0056571428571428,0.2232929287431062,12.20664607276704,3.2257780980130875,0.13,0.025,0.0,1.504,0.076,147810821.545,643278415673.366,0.0002297773684669,1,1,lll,347861338610.19006,1.0,0.0,,0.0,,,1.0,1.0,3.0
1020,1020,tc104,114,7.692307692307692,0.0769230769230769,2564.102564102564,0.8849557522123894,0.0227866357593824,0.000276923076923,0.0054536758775327,5.530862887510042,0.696704911383174,0.13,0.003,0.01,1.366,0.047,361044141.873,8512014130518.04,4.241582971279994e-05,1,1,lhl,-7520874376234.484,1.0,0.0,0.0,1.0,1.0,0.0,,,3.0
1021,1021,tc104,115,6.666666666666667,0.4,888.8888888888889,0.8695652173913044,0.0821583836257749,0.0036,8.191145326463811e-07,4.941779105161787,0.3065484202712491,0.15,0.0075,0.06,1.0,0.145,52951031.729,819330483636.082,6.46271959686038e-05,3,9,lll,171809270647.474,0.0,1.0,,1.0,,,1.0,0.0,3.0
1022,1022,tc104,116,8.333333333333334,0.2916666666666667,125.31328320802004,0.8928571428571428,0.2089033867604831,0.023275,0.0667856617738351,10.289056570847691,2.003901194712191,0.12,0.0665,0.035,1.145,0.171,35605964.024,204955486031.596,0.0001737253523358,1,3,lll,786184268251.96,0.0,0.0,,0.0,,,1.0,1.0,2.0
1023,1023,tc104,117,10.0,0.35,327.8688524590164,0.9090909090909091,0.1549798373982887,0.01281,0.0576922538796367,8.7631365251922,1.484059870632811,0.1,0.0305,0.035,1.186,0.128,50801670.948,212502450538.253,0.000239063929942,1,1,lll,778637303745.303,0.0,0.0,,0.0,,,1.0,1.0,2.0
1024,1024,tc104,118,10.0,0.35,1333.3333333333337,0.9090909090909091,0.0768521307446969,0.00315,8.358141400321983e-06,3.5017209111518484,0.1715035412315368,0.1,0.0075,0.035,1.063,0.072,88357141.667,888764219282.944,9.941572775993011e-05,1,1,lll,102375535000.61206,1.0,0.0,,1.0,,,1.0,1.0,4.0
1025,1025,tc104,119,8.333333333333334,0.5,520.8333333333334,0.8928571428571428,0.1341640786499874,0.0096,3.5575582586488963e-06,5.433908372418831,0.3729388328425443,0.12,0.016,0.06,1.033,0.132,45911060.789,407453728305.715,0.0001126779744534,1,1,lll,583686025977.8411,0.0,1.0,,1.0,,,1.0,1.0,4.0
1026,1026,tc104,11,16.666666666666668,0.4166666666666667,952.3809523809524,0.9433962264150942,0.128086884574495,0.00875,0.1036248869705644,11.195822873726126,2.556925572199241,0.06,0.0175,0.025,1.323,0.114,73003820.8,181010799038.266,0.000403311963639,1,1,hll,810128955245.29,1.0,0.0,1.0,1.0,1.0,1.0,,,5.0
1027,1027,tc104,120,8.333333333333334,0.6666666666666667,138.8888888888889,0.8928571428571428,0.3,0.048,0.0386869622017513,10.64073048663122,1.6346270449167717,0.12,0.06,0.08,1.069,0.232,25331608.427,200139561482.907,0.0001265697208453,1,3,llh,791000192800.649,0.0,0.0,1.0,1.0,1.0,1.0,,,4.0
1028,1028,tc104,121,14.285714285714285,0.1428571428571428,1587.3015873015872,0.9345794392523364,0.0537852874200477,0.0015428571428571,0.5140157234462919,12.076878643907644,3.1478540994004627,0.07,0.009,0.01,1.536,0.07,195450043.403,896957963752.202,0.000217903236608,1,1,hhl,94181790531.354,1.0,0.0,0.0,,1.0,0.0,,,2.0
1029,1029,tc104,122,20.0,1.6,833.3333333333334,0.9523809523809523,0.2939387691339813,0.0460799999999999,0.003320327195837,10.598963060861886,1.6115877759588275,0.05,0.024,0.08,1.097,0.202,29391168.015,63562319580.884,0.0004623992360379,1,1,hlh,927577434702.672,0.0,0.0,1.0,,,1.0,,,2.0
1030,1030,tc104,123,20.0,0.2,677.9661016949153,0.9523809523809523,0.1152171862180291,0.00708,0.9585358283813292,18.525611313561885,6.558253599387166,0.05,0.0295,0.01,1.424,0.147,65641558.348,91357096803.324,0.0007185162471757,1,1,hll,899782657480.232,0.0,0.0,1.0,1.0,1.0,1.0,,,4.0
1031,1031,tc104,124,14.285714285714285,0.5,272.10884353741494,0.9345794392523364,0.2430277761902947,0.0314999999999999,0.4576754270568699,13.817152799857626,3.5654307835995187,0.07,0.0525,0.035,1.21,0.19,34430311.325,82651798266.129,0.0004165706257731,1,1,hll,908487956017.427,0.0,0.0,1.0,1.0,1.0,1.0,,,4.0
1032,1032,tc104,125,4.3478260869565215,0.0217391304347826,193.23671497584544,0.8130081300813008,0.0331744401348518,0.0005869565217391,0.0043262391577769,6.417569456556818,0.8987229298384032,0.23,0.0225,0.005,1.337,0.064,135839583.583,971196149460.428,0.0001398683300571,1,1,lll,19943604823.12805,1.0,0.0,,1.0,,,1.0,1.0,4.0
1033,1033,tc104,126,11.11111111111111,0.611111111111111,740.7407407407408,0.9174311926605504,0.1436140661634507,0.011,0.0002200858837255,5.790125114110012,0.458226986199222,0.09,0.015,0.055,1.063,0.123,48352288.448,276881082490.858,0.0001746319683996,1,1,elh,714258671792.698,1.0,0.0,1.0,0.0,0.0,1.0,,,3.0
1034,1034,tc104,127,7.692307692307692,0.423076923076923,466.2004662004661,0.8849557522123894,0.1253264966766037,0.008376923076923,4.611928048348091e-05,5.161000494555976,0.3482706108158899,0.13,0.0165,0.055,1.04,0.122,49357610.847,467267717803.212,0.0001056302606973,1,1,lll,523872036480.34406,1.0,1.0,,1.0,,,1.0,1.0,5.0
1035,1035,tc104,128,4.545454545454546,0.1818181818181818,303.03030303030306,0.819672131147541,0.078334945180064,0.0032727272727272,2.383373924885745e-06,4.050702939407779,0.1989404446496392,0.22,0.015,0.04,1.027,0.099,61972054.13,664084420457.102,9.331954224636598e-05,1,1,lll,327055333826.454,1.0,1.0,,1.0,,,1.0,1.0,5.0
1036,1036,tc104,129,6.25,0.0,657.8947368421053,div0,0.0032727272727272,0.0032727272727272,1.0658408024690118,16.15744129531973,5.400678157903255,0.16,0.0095,0.0,1.68,0.05,561822461.658,5168362834747.128,0.0001087041447401,1,1,lll,-4177223080463.572,1.0,0.0,,0.0,,,0.0,1.0,2.0
1037,1037,tc104,12,3.333333333333333,0.2666666666666666,125.7861635220126,0.7692307692307692,0.1260952021291849,0.00848,2.475235604038062e-06,7.367485906378477,0.6101334762487668,0.3,0.0265,0.08,1.001,0.205,32146436.037,731028579301.354,4.397425346588014e-05,1,5,lll,260111174982.20203,0.0,1.0,,1.0,,,1.0,0.0,3.0
